ID,Category,Subcategory,Source,Name,Severity,Version,Effects,Description
Category_14._Inbound_Anti-Spam_Protections,14. Inbound Anti-Spam Protections,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,Allowed domains SHALL NOT be added to inbound anti-spam protection policies,High,,,"Allowed domains SHALL NOT be added to inbound anti-spam protection policies.
by spam protections. Adding allowed senders is an acceptable method of
combating these false positives. Allowing an entire domain, especially
a common domain like office.com, however, provides for a large number of
potentially unknown users to bypass spam protections."
Category_5._Application_Registration_and_Consent,5. Application Registration and Consent,Policies,CISA M365 Secure Configuration Baseline for Microsoft Entra ID,An admin consent workflow SHALL be configured for applications,High,,,An admin consent workflow SHALL be configured for applications.
Category_1._Meeting_Policies,1. Meeting Policies,Policies,CISA M365 Secure Configuration Baseline for Teams,Anonymous users SHALL NOT be enabled to start meetings,High,,,Anonymous users SHALL NOT be enabled to start meetings.
Category_8._Data_Loss_Prevention_Solutions,8. Data Loss Prevention Solutions,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,"At a minimum, the DLP solution SHALL restrict sharing credit card numbers, U",High,,,"At a minimum, the DLP solution SHALL restrict sharing credit card numbers, U.S. Individual Taxpayer Identification Numbers (ITIN), and U.S. Social Security numbers (SSN) via email.
- None
- N/A
For some types of files (e.g., executable files), the dangers of
allowing them to be sent via email outweigh any potential benefits.
Some services, such as the Common Attachment Filter of Microsoft
Defender, filter emails based on the attachment file types. Using
Microsoft Defender for this purpose is not required. However,
the solution selected by an agency should offer services comparable to
those offered by Microsoft.
Though using Microsoft Defender's solution is not strictly required for
this purpose, guidance for configuring the Common Attachment Filter in
Microsoft Defender can be found in the follow section of the CISA M365 Secure Configuration Baseline for Defender for Office 365.
- [Preset Security Policies \| CISA M365 Secure Configuration Baseline for Defender for Office 365](./defender.md#1-preset-security-profiles)"
Category_5._Alerts,5. Alerts,Policies,CISA M365 Secure Configuration Baseline for Defender,"At a minimum, the alerts required by the CISA M365 Secure Configuration Baseline for Exchange Online SHALL be enabled",High,,,"At a minimum, the alerts required by the CISA M365 Secure Configuration Baseline for Exchange Online SHALL be enabled."
Category_16._Alerts,16. Alerts,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,"At a minimum, the following alerts SHALL be enabled:
a",High,,,"At a minimum, the following alerts SHALL be enabled:
a. **Suspicious email sending patterns detected.**
b. **Suspicious Connector Activity.**
c. **Suspicious Email Forwarding Activity.**
d. **Messages have been delayed.**
e. **Tenant restricted from sending unprovisioned email.**
f. **Tenant restricted from sending email.**
g. **A potentially malicious URL click was detected.**
undetected without a means of detecting these events. Setting up a mechanism
to alert administrators to events listed above draws attention to them
to help minimize impact to users and the agency."
Category_6._Audit_Logging,6. Audit Logging,Policies,CISA M365 Secure Configuration Baseline for Defender,Audit logs SHALL be maintained for at least the minimum duration dictated by OMB M-21-31,High,,,"Audit logs SHALL be maintained for at least the minimum duration dictated by OMB M-21-31.
- _Note_: Purview Audit (Premium) provides a default audit log retention policy,
retaining Exchange Online, SharePoint Online, OneDrive for
Business, and Microsoft Entra ID audit records for one year.
Additional record types require custom audit retention policies.
Agencies may also consider alternate storage locations and services
to meet audit log retention needs.
- [OMB M-21-31, Improving the Federal Government's Investigative and Remediation Capabilities
Related to Cybersecurity Incidents \| Office of Management and
Budget](https://www.whitehouse.gov/wp-content/uploads/2021/08/M-21-31-Improving-the-Federal-Governments-Investigative-and-Remediation-Capabilities-Related-to-Cybersecurity-Incidents.pdf)
- [Turn auditing on or off \| Microsoft
Learn](https://learn.microsoft.com/en-us/purview/audit-log-enable-disable?view=o365-worldwide)
- [Create an audit log retention policy \| Microsoft
Learn](https://learn.microsoft.com/en-us/purview/audit-log-retention-policies?view=o365-worldwide#create-an-audit-log-retention-policy)
- [Search the audit log in the compliance center \| Microsoft
Learn](https://learn.microsoft.com/en-us/purview/audit-log-search?view=o365-worldwide)
- [Audit log activities \| Microsoft
Learn](https://learn.microsoft.com/en-us/purview/audit-log-activities)
- [Expanding cloud logging to give customers deeper security visibility \|
Microsoft Security Blog](https://www.microsoft.com/en-us/security/blog/2023/07/19/expanding-cloud-logging-to-give-customers-deeper-security-visibility/)
- [Export, configure, and view audit log records | Microsoft Learn](https://learn.microsoft.com/en-us/purview/audit-log-export-records)
- [Untitled Goose Tool Fact Sheet | CISA.](https://www.cisa.gov/resources-tools/resources/untitled-goose-tool-fact-sheet)
- [Manage audit log retention policies | Microsoft Learn](https://learn.microsoft.com/en-us/purview/audit-log-retention-policies?tabs=microsoft-purview-portal#before-you-create-an-audit-log-retention-policy)
- Microsoft Purview Audit (Premium) logging capabilities, including the creation of a custom audit
log retention policy, requires E5/G5 licenses or E3/G3 licenses with
add-on compliance licenses.
- Additionally, maintaining logs in the M365 environment for longer than
one year requires an add-on license. For more information, see
[Manage audit log retention policies | Microsoft Learn](https://learn.microsoft.com/en-us/purview/audit-log-retention-policies?tabs=microsoft-purview-portal#before-you-create-an-audit-log-retention-policy). However, this requirement can also be met by exporting the logs from M365 and storing them with your solution of choice, in which case audit log retention policies are not necessary."
Category_17._Audit_Logging,17. Audit Logging,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,Audit logs SHALL be maintained for at least the minimum duration dictated by OMB M-21-31 (Appendix C),High,,,"Audit logs SHALL be maintained for at least the minimum duration dictated by OMB M-21-31 (Appendix C).
are not retained for a sufficient time.  Increased log retention time
gives an agency the necessary visibility to investigate incidents that occurred
some time ago. OMB M-21-13, Appendix C, Table 5 specifically calls out Unified
Audit Logs in the Cloud Azure log category.
- None
- [Expanding cloud logging to give customers deeper security visibility \|
Microsoft Security Blog](https://www.microsoft.com/en-us/security/blog/2023/07/19/expanding-cloud-logging-to-give-customers-deeper-security-visibility/)
- [Export, configure, and view audit log records | Microsoft Learn](https://learn.microsoft.com/en-us/purview/audit-log-export-records)
- [Untitled Goose Tool Fact Sheet | CISA.](https://www.cisa.gov/resources-tools/resources/untitled-goose-tool-fact-sheet)
- [Manage audit log retention policies | Microsoft Learn](https://learn.microsoft.com/en-us/purview/audit-log-retention-policies?tabs=microsoft-purview-portal#before-you-create-an-audit-log-retention-policy)
- Microsoft Purview Audit (Premium) logging capabilities, including creating
a custom audit log retention policy, requires E5/G5 licenses or
E3/G3 licenses with add-on compliance licenses.
- Additionally, maintaining logs in the M365 environment for longer than one
year requires an add-on license. For more information, see
[Licensing requirements \| Microsoft
Docs](https://docs.microsoft.com/en-us/microsoft-365/compliance/auditing-solutions-overview?view=o365-worldwide#licensing-requirements). However, this requirement can also be met by exporting the logs from M365 and storing them with your solution of choice, in which case audit log retention policies are not necessary."
Category_1._Automatic_Forwarding_to_External_Domains,1. Automatic Forwarding to External Domains,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,Automatic forwarding to external domains SHALL be disabled,High,,,"Automatic forwarding to external domains SHALL be disabled.
persistent access to a victim's email. Disabling forwarding to
external domains prevents this technique when the adversary is
external to the organization but does not impede legitimate
internal forwarding.
- [Reducing or increasing information flow to another company \|
Microsoft
Learn](https://learn.microsoft.com/en-us/exchange/mail-flow-best-practices/remote-domains/remote-domains#reducing-or-increasing-information-flow-to-another-company)
- N/A
The Sender Policy Framework (SPF) is a mechanism allowing domain
administrators to specify which IP addresses are explicitly approved to
send email on behalf of the domain, facilitating detection of spoofed
emails. SPF is not configured through the Exchange admin center, but
rather via Domain Name System (DNS) records hosted by the agency's
domain. Thus, the exact steps needed to set up SPF vary from agency to
agency, but Microsoft's documentation provides some helpful starting
points."
Category_6._Calendar_and_Contact_Sharing,6. Calendar and Contact Sharing,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,Calendar details SHALL NOT be shared with all domains,High,,,"Calendar details SHALL NOT be shared with all domains.
for legitimate use as needed.
- [Sharing in Exchange Online \| Microsoft
Learn](https://learn.microsoft.com/en-us/exchange/sharing/sharing)
- [Organization relationships in Exchange Online \| Microsoft
Learn](https://learn.microsoft.com/en-us/exchange/sharing/organization-relationships/organization-relationships)
- [Sharing policies in Exchange Online \| Microsoft
Learn](https://learn.microsoft.com/en-us/exchange/sharing/sharing-policies/sharing-policies)
- N/A
Mail flow rules allow incoming email modification, such that email from external users can be easily identified (e.g., by prepending the subject line with ""\[External\]"")."
Category_6._Calendar_and_Contact_Sharing,6. Calendar and Contact Sharing,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,Contact folders SHALL NOT be shared with all domains,High,,,"Contact folders SHALL NOT be shared with all domains.
for specific legitimate use as needed."
Category_3._Skype_Users,3. Skype Users,Policies,CISA M365 Secure Configuration Baseline for Teams,Contact with Skype users SHALL be blocked,High,,,"Contact with Skype users SHALL be blocked.
- [Configure external meetings and chat with Skype for Business Server \| Microsoft
Learn](https://learn.microsoft.com/en-us/microsoftteams/external-meetings-skype-for-business-server-hybrid)
- [Skype for Business Online to Be Retired in 2021 \| Microsoft Teams
Blog](https://techcommunity.microsoft.com/t5/microsoft-teams-blog/skype-for-business-online-to-be-retired-in-2021/ba-p/777833)
- N/A
This section helps reduce security risks related to Teams email integration. Teams provides an optional feature allowing channels to have an email address and receive email."
Category_4._Power_Apps_Content_Security_Policy,4. Power Apps Content Security Policy,Policies,CISA M365 Secure Configuration Baseline for Power Platform,Content Security Policy (CSP) SHALL be enforced for model-driven and canvas Power Apps,High,,,"Content Security Policy (CSP) SHALL be enforced for model-driven and canvas Power Apps.
- [Content Security Policy \| Microsoft
Learn](https://learn.microsoft.com/en-us/power-platform/admin/content-security-policy)
- N/A
Power Pages formerly known as Power Portals are Power Apps specifically designed to act as external facing websites. By default any user in the tenant can create a Power Page. Admins can restrict the creation of new Power Pages to only admins."
Category_9._Attachment_File_Type,9. Attachment File Type,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,Disallowed file types SHALL be determined and enforced,High,,,"Disallowed file types SHALL be determined and enforced.
though other file types can contain malicious content as well. As such,
determining the full list of file types to block is left to each
organization, to be made in accordance with their risk tolerance."
Category_7._Highly_Privileged_User_Access,7. Highly Privileged User Access,Policies,CISA M365 Secure Configuration Baseline for Microsoft Entra ID,Eligible and Active highly privileged role assignments SHALL trigger an alert,High,,,Eligible and Active highly privileged role assignments SHALL trigger an alert.
Category_10._Malware_Scanning,10. Malware Scanning,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,Email scanning SHALL be capable of reviewing emails after delivery,High,,,"Email scanning SHALL be capable of reviewing emails after delivery.
- None
- N/A
Several techniques exist for protecting against phishing attacks,
including the following:
- Impersonation protection checks, wherein a tool compares the sender's
address to the addresses of known senders to flag look-alike
addresses, such as `user@exmple.com` and `user@example.com`.
- User warnings, such as displaying a notice the first time a user
receives an email from a new sender.
- Artificial intelligence (AI)-based tools.
Any product meeting the requirements outlined in this baseline
policy group may be used. If the agency uses Exchange Online Protection
(EOP), which is included in all Microsoft 365 subscriptions containing
Exchange Online mailboxes, see the following policy and section of the CISA
M365 Secure Configuration Baseline for Defender for Office 365.
- [MS.DEFENDER.1.2v1 \| CISA M365 Secure Configuration Baseline for Defender for Office 365](./defender.md#msdefender12v1).
- All users SHALL be added to Exchange Online Protection in either the standard or strict preset security policy.
EOP alone does not support impersonation protection, but this is provided through
Defender for Office 365. If using Defender for Office 365 for impersonation protection, see the following policy and section of the CISA M365 Secure Configuration Baseline for Defender for Office 365.
- [Impersonation Protection \| CISA M365 Secure Configuration Baseline for Defender for Office 365](./defender.md#2-impersonation-protection)"
Category_9._Attachment_File_Type,9. Attachment File Type,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,Emails SHALL be filtered by attachment file types,High,,,"Emails SHALL be filtered by attachment file types.
Sharing high risk file types, when necessary, is better left to a means other
than email; the dangers of allowing them to be sent over email outweigh
any potential benefits. Filtering email attachments based on file types can
prevent spread of malware distributed via click-to-run email attachments."
Category_10._Malware_Scanning,10. Malware Scanning,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,Emails SHALL be scanned for malware,High,,,"Emails SHALL be scanned for malware.
In many cases, malware can be detected through scanning, reducing
the risk for end users."
Category_10._Malware_Scanning,10. Malware Scanning,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,Emails identified as containing malware SHALL be quarantined or dropped,High,,,"Emails identified as containing malware SHALL be quarantined or dropped.
Preventing emails with known malware from reaching user mailboxes helps ensure
users cannot interact with those emails."
Category_3._Securing_Anyone_Links_and_Verification_Code_Users,3. Securing Anyone Links and Verification Code Users,Policies,CISA M365 Secure Configuration Baseline for SharePoint Online and OneDrive,Expiration days for Anyone links SHALL be set to 30 days or less,High,,,Expiration days for Anyone links SHALL be set to 30 days or less.
Category_2._External_User_Access,2. External User Access,Policies,CISA M365 Secure Configuration Baseline for Teams,External access for users SHALL only be enabled on a per-domain basis,High,,,External access for users SHALL only be enabled on a per-domain basis.
Category_7._External_Sender_Warnings,7. External Sender Warnings,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,External sender warnings SHALL be implemented,High,,,"External sender warnings SHALL be implemented.
- [Mail flow rules (transport rules) in Exchange Online \| Microsoft
Learn](https://learn.microsoft.com/en-us/exchange/security-and-compliance/mail-flow-rules/mail-flow-rules)
- [Capacity Enhancement Guide: Counter-Phishing Recommendations for
Federal Agencies \|
CISA](https://www.cisa.gov/sites/default/files/publications/Capacity_Enhancement_Guide-Counter-Phishing_Recommendations_for_Federal_Agencies.pdf)
- [Actions To Counter Email-Based Attacks On Election-Related Entities
\|
CISA](https://www.cisa.gov/sites/default/files/publications/CISA_Insights_Actions_to_Counter_Email-Based_Attacks_on_Election-Related_S508C.pdf)
- N/A
Data loss prevention (DLP) helps prevent both accidental leakage of
sensitive information as well as intentional exfiltration of data. DLP
forms an integral part of securing Microsoft Exchange Online. There are
several commercial DLP solutions available that document support for
M365. Microsoft itself offer DLP services, controlled within the Microsoft Purview
compliance portal. Agencies may select any service that fits their needs and meets
the requirements outlined in this baseline setting. The DLP solution selected by an agency
should offer services comparable to those offered by Microsoft.
Though use of Microsoft's DLP solution is not strictly
required, guidance for configuring Microsoft's DLP solution can be found in the following section of the CISA M365 Secure Configuration Baseline for Defender for Office 365.
- [Data Loss Prevention \| CISA M365 Secure Configuration Baseline for Defender for Office 365](./defender.md#4-data-loss-prevention)"
Category_1._External_Sharing,1. External Sharing,Policies,CISA M365 Secure Configuration Baseline for SharePoint Online and OneDrive,External sharing SHALL be restricted to approved external domains and/or users in approved security groups per interagency collaboration needs,High,,,External sharing SHALL be restricted to approved external domains and/or users in approved security groups per interagency collaboration needs.
Category_1._External_Sharing,1. External Sharing,Policies,CISA M365 Secure Configuration Baseline for SharePoint Online and OneDrive,External sharing for OneDrive SHALL be limited to Existing guests or Only people in your organization,High,,,External sharing for OneDrive SHALL be limited to Existing guests or Only people in your organization.
Category_1._External_Sharing,1. External Sharing,Policies,CISA M365 Secure Configuration Baseline for SharePoint Online and OneDrive,External sharing for SharePoint SHALL be limited to Existing guests or Only people in your organization,High,,,External sharing for SharePoint SHALL be limited to Existing guests or Only people in your organization.
Category_2._File_and_Folder_Default_Sharing_Settings,2. File and Folder Default Sharing Settings,Policies,CISA M365 Secure Configuration Baseline for SharePoint Online and OneDrive,File and folder default sharing permissions SHALL be set to View,High,,,"File and folder default sharing permissions SHALL be set to View.
- [File and folder links \| Microsoft
Documents](https://learn.microsoft.com/en-us/sharepoint/turn-external-sharing-on-or-off#file-and-folder-links)
- N/A
Sharing files with external users via the usage of **Anyone links** or **Verification codes** is strongly discouraged because it provides access to data within a tenant with weak or no authentication. If these features are used, this section details some access restrictions that could provide limited security risk mitigations.
**Note**: The settings in this section are only applicable if an agency is using **Anyone links** or **Verification code** sharing. See each policy below for details."
Category_2._File_and_Folder_Default_Sharing_Settings,2. File and Folder Default Sharing Settings,Policies,CISA M365 Secure Configuration Baseline for SharePoint Online and OneDrive,File and folder default sharing scope SHALL be set to Specific people (only the people the user specifies),High,,,File and folder default sharing scope SHALL be set to Specific people (only the people the user specifies).
Category_5._Application_Registration_and_Consent,5. Application Registration and Consent,Policies,CISA M365 Secure Configuration Baseline for Microsoft Entra ID,Group owners SHALL NOT be allowed to consent to applications,High,,,"Group owners SHALL NOT be allowed to consent to applications.
- [Restrict Application Registration for Non-Privileged Users](https://www.trendmicro.com/cloudoneconformity/knowledge-base/azure/ActiveDirectory/users-can-register-applications.html)
- [Enforce Administrators to Provide Consent for Apps Before Use](https://www.trendmicro.com/cloudoneconformity/knowledge-base/azure/ActiveDirectory/users-can-consent-to-apps-accessing-company-data-on-their-behalf.html)
- [Configure the admin consent workflow](https://learn.microsoft.com/en-us/entra/identity/enterprise-apps/configure-admin-consent-workflow)
- N/A
This section provides policies that reduce security risks associated with legacy password practices."
Category_1._External_Sharing,1. External Sharing,Policies,CISA M365 Secure Configuration Baseline for SharePoint Online and OneDrive,Guest access SHALL be limited to the email the invitation was sent to,High,,,"Guest access SHALL be limited to the email the invitation was sent to.
- [Overview of external sharing in SharePoint and OneDrive in Microsoft 365 \| Microsoft Documents](https://learn.microsoft.com/en-us/sharepoint/external-sharing-overview)
- [Manage sharing settings for SharePoint and OneDrive in Microsoft 365 \| Microsoft Documents](https://learn.microsoft.com/en-us/sharepoint/turn-external-sharing-on-or-off)
- N/A
This section provides policies to set the scope and permissions for sharing links to secure default values."
Category_3._Strong_Authentication_and_a_Secure_Registration_Process,3. Strong Authentication and a Secure Registration Process,Policies,CISA M365 Secure Configuration Baseline for Microsoft Entra ID,"If phishing-resistant MFA has not been enforced and Microsoft Authenticator is enabled, it SHALL be configured to show login context information",High,,,"If phishing-resistant MFA has not been enforced and Microsoft Authenticator is enabled, it SHALL be configured to show login context information."
Category_3._Strong_Authentication_and_a_Secure_Registration_Process,3. Strong Authentication and a Secure Registration Process,Policies,CISA M365 Secure Configuration Baseline for Microsoft Entra ID,"If phishing-resistant MFA has not been enforced, an alternative MFA method SHALL be enforced for all users",High,,,"If phishing-resistant MFA has not been enforced, an alternative MFA method SHALL be enforced for all users."
Category_1._Legacy_Authentication,1. Legacy Authentication,Policies,CISA M365 Secure Configuration Baseline for Microsoft Entra ID,Legacy authentication SHALL be blocked,High,,,"Legacy authentication SHALL be blocked.
- [Common Conditional Access policy: Block legacy authentication](https://learn.microsoft.com/en-us/entra/identity/conditional-access/howto-conditional-access-policy-block-legacy)
- [Five steps to securing your identity infrastructure](https://learn.microsoft.com/en-us/azure/security/fundamentals/steps-secure-identity)
- N/A
This section provides policies that reduce security risks related to potentially compromised user accounts. These policies combine Microsoft Entra ID Protection and Microsoft Entra ID Conditional Access. Microsoft Entra ID Protection uses numerous signals to detect the risk level for each user or sign-in and determine if an account may have been compromised.
- _Additional mitigations to reduce risks associated with the authentication of workload identities:_ Although not covered in this baseline due to the need for an additional non-standard license, Microsoft provides support for mitigating risks related to workload identities (Microsoft Entra ID applications or service principals). Agencies should strongly consider implementing this feature because workload identities present many of the same risks as interactive user access and are commonly used in modern systems. CISA urges organizations to [apply Conditional Access policies to workload identities](https://learn.microsoft.com/en-us/entra/identity/conditional-access/workload-identity)."
Category_13._Mailbox_Auditing,13. Mailbox Auditing,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,Mailbox auditing SHALL be enabled,High,,,"Mailbox auditing SHALL be enabled.
- [Manage mailbox auditing in Office 365 \| Microsoft
Learn](https://learn.microsoft.com/en-us/microsoft-365/compliance/audit-mailboxes?view=o365-worldwide)
- [Supported mailbox types \| Microsoft
Learn](https://learn.microsoft.com/en-us/microsoft-365/compliance/audit-mailboxes?view=o365-worldwide&viewFallbackFrom=o365-worldwide%22%20%5Cl%20%22supported-mailbox-types)
- [Microsoft Purview Compliance Manager - Microsoft 365 Compliance \|Microsoft
Learn](https://learn.microsoft.com/en-us/microsoft-365/compliance/compliance-manager?view=o365-worldwide)
- N/A
Junk email, or spam, can clutter user mailboxes and hamper communications
across an agency. Implementing a spam filter helps to identify inbound spam and
quarantine or move those messages. Microsoft Defender includes several
capabilities for protecting against inbound spam emails. Using Microsoft
Defender is not strictly required for this purpose; any product that
fulfills the requirements outlined in this baseline policy group may be
used. If the agency uses Microsoft Defender to meet this baseline policy
group, see the following policy of the CISA M365 Secure Configuration
Baseline for Defender for Office 365.
- [MS.DEFENDER.1.2v1 \| CISA M365 Secure Configuration Baseline for Defender for Office 365](./defender.md#msdefender12v1)
- All users SHALL be added to Exchange Online Protection in either the standard or strict preset security policy."
Category_17._Audit_Logging,17. Audit Logging,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,Microsoft Purview Audit (Premium) logging SHALL be enabled,High,,,"Microsoft Purview Audit (Premium) logging SHALL be enabled.
visibility into user actions during an incident. Enabling Microsoft Purview Audit
(Premium) captures additional event types not included with Standard.
Furthermore, it is required for government agencies by OMB M-21-31 (referred to therein by its former name, Unified Audit Logs w/Advanced Features).
to its Purview Audit service that include making audit events
currently available in Purview Audit (Premium) available to Purview
Audit (Standard) subscribers. After rollout of changes are complete,
Purview (Standard) may be sufficient for agencies to meet basic
logging requirements."
Category_6._Audit_Logging,6. Audit Logging,Policies,CISA M365 Secure Configuration Baseline for Defender,Microsoft Purview Audit (Premium) logging SHALL be enabled for ALL users,High,,,"Microsoft Purview Audit (Premium) logging SHALL be enabled for ALL users.
to its Purview Audit service that include making audit events
currently available in Purview Audit (Premium) available to Purview
Audit (Standard) subscribers. After rollout of changes are complete,
Purview (Standard) may be sufficient for agencies to meet basic
logging requirements."
Category_6._Audit_Logging,6. Audit Logging,Policies,CISA M365 Secure Configuration Baseline for Defender,Microsoft Purview Audit (Standard) logging SHALL be enabled,High,,,Microsoft Purview Audit (Standard) logging SHALL be enabled.
Category_17._Audit_Logging,17. Audit Logging,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,Microsoft Purview Audit (Standard) logging SHALL be enabled,High,,,"Microsoft Purview Audit (Standard) logging SHALL be enabled.
activities that took place slows response actions. Enabling Microsoft
Purview Audit (Standard) helps ensure agencies have visibility into user
actions. Furthermore, Microsoft Purview Audit (Standard) is required for
government agencies by OMB M-21-31 (referred to therein by its former
name, Unified Audit Logs)."
Category_5._Application_Registration_and_Consent,5. Application Registration and Consent,Policies,CISA M365 Secure Configuration Baseline for Microsoft Entra ID,Only administrators SHALL be allowed to consent to applications,High,,,Only administrators SHALL be allowed to consent to applications.
Category_5._Application_Registration_and_Consent,5. Application Registration and Consent,Policies,CISA M365 Secure Configuration Baseline for Microsoft Entra ID,Only administrators SHALL be allowed to register applications,High,,,Only administrators SHALL be allowed to register applications.
Category_7._Highly_Privileged_User_Access,7. Highly Privileged User Access,Policies,CISA M365 Secure Configuration Baseline for Microsoft Entra ID,Permanent active role assignments SHALL NOT be allowed for highly privileged roles,High,,,"Permanent active role assignments SHALL NOT be allowed for highly privileged roles.
- Emergency access accounts that need perpetual access to the tenant in the rare event of system degradation or other scenarios.
- Some types of service accounts that require a user account with privileged roles; since these accounts are used by software programs, they cannot perform role activation."
Category_3._Strong_Authentication_and_a_Secure_Registration_Process,3. Strong Authentication and a Secure Registration Process,Policies,CISA M365 Secure Configuration Baseline for Microsoft Entra ID,Phishing-resistant MFA SHALL be enforced for all users,High,,,"Phishing-resistant MFA SHALL be enforced for all users.
The phishing-resistant methods **Microsoft Entra ID certificate-based authentication (CBA)**, **FIDO2 Security Key**, **Windows Hello for Business**, and **device-bound passkeys** (in the authenticator app of choice) are the recommended authentication options since they offer forms of MFA with the least weaknesses. For federal agencies, Microsoft Entra ID CBA supports federal PIV card authentication directly to Microsoft Entra ID.
If on-premises PIV authentication and federation to Microsoft Entra ID is used, [enforce PIV logon via Microsoft Active Directory group policy](https://www.idmanagement.gov/implement/scl-windows/)."
Category_3._Strong_Authentication_and_a_Secure_Registration_Process,3. Strong Authentication and a Secure Registration Process,Policies,CISA M365 Secure Configuration Baseline for Microsoft Entra ID,Phishing-resistant MFA SHALL be required for highly privileged roles,High,,,Phishing-resistant MFA SHALL be required for highly privileged roles.
Category_3._Power_Platform_Tenant_Isolation,3. Power Platform Tenant Isolation,Policies,CISA M365 Secure Configuration Baseline for Power Platform,Power Platform tenant isolation SHALL be enabled,High,,,Power Platform tenant isolation SHALL be enabled.
